Date,Price,Series
2019-08-08,0.1,T10Y2Y
2019-08-08,2.13,FEDFUNDS
2019-08-08,6044,UNEMPLOY
2019-08-08,19122.06,GDP
2019-08-08,1.13,DELINQUENCY
2019-08-15,2847.6,SP500
2019-08-15,0.04,T10Y2Y
2019-08-15,1517.65,GOLD
2019-08-15,-0.39,T10Y3M
2019-08-15,54.51,WTICRUDE
2019-08-15,2.13,FEDFUNDS
2019-08-15,6044,UNEMPLOY
2019-08-15,1.13,DELINQUENCY
2019-08-15,19122.06,GDP
2019-08-22,2922.95,SP500
2019-08-22,-0.38,T10Y3M
2019-08-22,0.01,T10Y2Y
2019-08-22,1498.70,GOLD
2019-08-22,55.33,WTICRUDE
2019-08-22,6044,UNEMPLOY
2019-08-22,2.13,FEDFUNDS
2019-08-22,1.13,DELINQUENCY
2019-08-22,19122.06,GDP
2019-08-29,2924.58,SP500
2019-08-29,56.67,WTICRUDE
2019-08-29,1536.65,GOLD
2019-08-29,-0.49,T10Y3M
2019-08-29,-0.03,T10Y2Y
2019-08-29,6044,UNEMPLOY
2019-08-29,2.13,FEDFUNDS
2019-08-29,1.13,DELINQUENCY
2019-08-29,19122.06,GDP
2019-09-05,2976.0,SP500
2019-09-05,0.02,T10Y2Y
2019-09-05,1542.60,GOLD
2019-09-05,-0.4,T10Y3M
2019-09-05,56.33,WTICRUDE
2019-09-05,5769,UNEMPLOY
2019-09-05,2.04,FEDFUNDS
2019-09-05,1.13,DELINQUENCY
2019-09-05,19122.06,GDP
2019-09-12,3009.57,SP500
2019-09-12,-0.16,T10Y3M
2019-09-12,55.13,WTICRUDE
2019-09-12,0.07,T10Y2Y
2019-09-12,1502.95,GOLD
2019-09-12,2.04,FEDFUNDS
2019-09-12,5769,UNEMPLOY
2019-09-12,1.13,DELINQUENCY
2019-09-12,19122.06,GDP
2019-09-19,3006.79,SP500
2019-09-19,0.05,T10Y2Y
2019-09-19,1498.40,GOLD
2019-09-19,-0.14,T10Y3M
2019-09-19,58.19,WTICRUDE
2019-09-19,2.04,FEDFUNDS
2019-09-19,5769,UNEMPLOY
2019-09-19,19122.06,GDP
2019-09-19,1.13,DELINQUENCY
2019-09-26,2977.62,SP500
2019-09-26,1507.05,GOLD
2019-09-26,-0.13,T10Y3M
2019-09-26,56.24,WTICRUDE
2019-09-26,0.04,T10Y2Y
2019-09-26,2.04,FEDFUNDS
2019-09-26,5769,UNEMPLOY
2019-09-26,19122.06,GDP
2019-09-26,1.13,DELINQUENCY
2019-10-03,2910.63,SP500
2019-10-03,52.41,WTICRUDE
2019-10-03,0.15,T10Y2Y
2019-10-03,1504.00,GOLD
2019-10-03,-0.16,T10Y3M
2019-10-03,1.83,FEDFUNDS
2019-10-03,5855,UNEMPLOY
2019-10-03,19122.06,GDP
2019-10-03,1.13,DELINQUENCY
2019-10-10,2938.13,SP500
2019-10-10,53.57,WTICRUDE
2019-10-10,0.14,T10Y2Y
2019-10-10,1508.20,GOLD
2019-10-10,-0.01,T10Y3M
2019-10-10,1.83,FEDFUNDS
2019-10-10,5855,UNEMPLOY
2019-10-10,19122.06,GDP
2019-10-10,1.13,DELINQUENCY
2019-10-17,2997.95,SP500
2019-10-17,1484.45,GOLD
2019-10-17,0.1,T10Y3M
2019-10-17,0.16,T10Y2Y
2019-10-17,53.89,WTICRUDE
2019-10-17,5855,UNEMPLOY
2019-10-17,1.83,FEDFUNDS
2019-10-17,1.13,DELINQUENCY
2019-10-17,19122.06,GDP
2019-10-24,3010.29,SP500
2019-10-24,0.19,T10Y2Y
2019-10-24,1488.85,GOLD
2019-10-24,0.1,T10Y3M
2019-10-24,56.11,WTICRUDE
2019-10-24,1.83,FEDFUNDS
2019-10-24,5855,UNEMPLOY
2019-10-24,1.13,DELINQUENCY
2019-10-24,19122.06,GDP
2019-10-31,3037.56,SP500
2019-10-31,0.17,T10Y2Y
2019-10-31,0.15,T10Y3M
2019-10-31,54.02,WTICRUDE
2019-10-31,1506.40,GOLD
2019-10-31,5855,UNEMPLOY
2019-10-31,1.83,FEDFUNDS
2019-10-31,1.13,DELINQUENCY
2019-10-31,19122.06,GDP
2019-11-07,3085.18,SP500
2019-11-07,56.91,WTICRUDE
2019-11-07,0.24,T10Y2Y
2019-11-07,1484.10,GOLD
2019-11-07,0.36,T10Y3M
2019-11-07,5855,UNEMPLOY
2019-11-07,1.83,FEDFUNDS
2019-11-07,19122.06,GDP
2019-11-07,1.13,DELINQUENCY
2019-11-14,3096.63,SP500
2019-11-14,0.24,T10Y2Y
2019-11-14,1467.65,GOLD
2019-11-14,0.25,T10Y3M
2019-11-14,56.57,WTICRUDE
2019-11-14,5855,UNEMPLOY
2019-11-14,1.83,FEDFUNDS
2019-11-14,19122.06,GDP
2019-11-14,1.13,DELINQUENCY
2019-11-21,3103.54,SP500
2019-11-21,1468.90,GOLD
2019-11-21,0.19,T10Y3M
2019-11-21,0.17,T10Y2Y
2019-11-21,58.36,WTICRUDE
2019-11-21,5855,UNEMPLOY
2019-11-21,1.83,FEDFUNDS
2019-11-21,19122.06,GDP
2019-11-21,1.13,DELINQUENCY
2019-11-28,3153.63,SP500
2019-11-28,0.15,T10Y3M
2019-11-28,0.14,T10Y2Y
2019-11-28,1459.80,GOLD
2019-11-28,57.79,WTICRUDE
2019-11-28,1.83,FEDFUNDS
2019-11-28,5855,UNEMPLOY
2019-11-28,19122.06,GDP
2019-11-28,1.13,DELINQUENCY
